xresnet18_trainloss,xresnet18_validloss,xresnet18-deconv_trainloss,xresnet18-deconv_validloss,xresnet18-hybrid_trainloss,xresnet18-hybrid_validloss,simple-cnn_trainloss,simple-cnn_validloss,simple-deconv_trainloss,simple-deconv_validloss
0.852638,0.971052,0.904468,1.979797,0.85227,0.861581,0.874416,0.988373,0.868004,0.926631
0.804841,0.972011,0.834958,0.937502,0.811085,0.843609,0.847197,1.345108,0.846722,1.023369
0.783737,0.791366,0.818842,0.903935,0.784236,0.826704,0.836088,0.842002,0.827018,0.922453
0.776873,0.813928,0.805202,0.930111,0.789549,0.804221,0.81516,0.865929,0.824139,0.962774
0.766122,0.834102,0.785078,1.268249,0.778026,0.81555,0.809237,0.893625,0.806484,0.987413
0.754295,0.770272,0.772696,0.961012,0.754454,0.781789,0.80485,0.901947,0.81531,0.893687
0.750764,0.782816,0.762522,0.812148,0.759375,0.780635,0.777351,0.816846,0.793528,1.008335
0.736743,0.775185,0.746291,0.803621,0.739991,0.768392,0.793874,0.824733,0.791092,0.883413
0.731312,0.748646,0.751921,0.779142,0.748982,0.775085,0.777727,0.794745,0.79185,0.886856
0.717872,0.772038,0.750996,0.788259,0.743751,0.774727,0.783149,0.80267,0.792502,0.844774